night,title,author,index_code
430,虹色のトロツキー,安彦良和,6
431,小野小町論,黒岩涙香,6
432,消えゆく言語たち,ダニエル・ネトル＆スザンヌ・ロメイン,8
433,ペニスの文化史,マルク・ボナール＆ミシェル・シューマン,3
434,悉皆屋康吉,舟橋聖一,7
435,フェルマーの最終定理,サイモン・シン,1
436,シャドウ・ワーク,イヴァン・イリイチ,4
437,沖縄は歌の島,藤田正,5
438,水滸伝,楊定見・施耐庵・羅貫中,5
439,近代日本のデザイン文化史,榧野八束,5
440,ココ・シャネルの秘密,マルセル・ヘードリッヒ,7
441,湾岸戦争,ピエール・サリンジャー＆エリック・ローラン,7
442,綺想の饗宴,高山宏,3
443,五輪書,宮本武蔵,3
444,ピアノの誕生,西原稔,5
445,ミトラス教,マルタン・フェルマースレン,6
446,精神の生態学,グレゴリー・ベイトソン,8
447,雨月物語,上田秋成,5
448,昭和精神史,桶谷秀昭,6
449,アナーキー・国家・ユートピア,ロバート・ノージック,3
450,断腸亭日乗,永井荷風,5
451,正月の来た道,大林太良,6
452,心の社会,マーヴィン・ミンスキー,2
453,香水,パトリック・ジュースキント,5
454,井上井月伝説,江宮隆之,5
455,信長の親衛隊,谷口克広,6
456,V.,トマス・ピンチョン,5
457,日本の奇祭,合田一道,6
458,冬の紳士,大佛次郎,5
459,デジタル・マクルーハン,ポール・レヴィンソン,1
460,朱舜水,石原道博,6
461,脳と心の正体,ワイルダー・ペンフィールド,2
462,デザイナー誕生,水尾比呂志,5
463,ディートリッヒ自伝,マレーネ・ディートリッヒ,7
464,虫をたおすキノコ,吉見昭一,2
465,ライ麦畑でつかまえて,J.D.サリンジャー,5
466,梅,有岡利幸,2
467,電気システムとしての人体,久保田博南,2
468,アジアのなかの日本,飯塚浩二,6
469,禅とオートバイ修理技術,ロバート・パーシグ,3
470,精神病院の起源,小俣和一郎,2
471,無対象の世界,カジミール・マレーヴィチ,5
472,もう一つの修羅,花田清輝,5
473,大陸の細道,木山捷平,6
474,ヨーロッパのサロン,ヴェレーナ・ハイデン＝リンシュ,4
475,資本主義の文化的矛盾,ダニエル・ベル,4
476,科学が正しい理由,ロジャー・Ｇ・ニュートン,1
477,テンプル騎士団,レジーヌ・ペルヌー,6
478,鍼灸の世界,呉澤森,2
479,デミアン,ヘルマン・ヘッセ,5
480,月下の一群,堀口大學,5
481,歌舞伎以前,林屋辰三郎,5
482,ノスタルジアの社会学,フレッド・デーヴィス,3
483,いのちとかたち,山本健吉,3
484,ネコはどうしてわがままか,日高敏隆,2
485,檸檬,梶井基次郎,5
486,建築家なしの建築,バーナード・ルドフスキー,5
487,ヨブ記,旧約聖書,6
488,イラストレーション,ヒリス・ミラー,5
489,日本風景論,志賀重昂,3
490,花僧,澤田ふじ子,5
491,コーヒー・ハウス,小林章夫,4
492,世の初めから隠されていること,ルネ・ジラール,6
493,官僚国家の崩壊,ジョン・ラルストン・ソウル,7
494,日本花街史,明田鉄男,6
495,てりむくり,立岩二郎,5
496,フリーメーソン,リュック・ヌフォンテーヌ,6
497,日本近代美術史論,高階秀爾,5
498,イーディ,ジーン・スタイン＆ジョージ・プリンプトン,5
499,墨汁一滴,正岡子規,5
500,エクリ,アルベルト・ジャコメッティ,5
501,百代の過客,ドナルド・キーン,6
502,カルメンお美,矢野晶子,6
503,恋愛と贅沢と資本主義,ヴェルナー・ゾンバルト,4
504,考える／分類する,ジョルジュ・ペレック,8
505,日本画の精神,坂崎坦,5
506,花森安治の仕事,酒井寛,8
507,女生徒,太宰治,5
508,シャーロック・ホームズの記号論,トマス・シービオク＆ジーン・ユミカー＝シービオク,8
509,異邦人,アルベール・カミュ,5
510,文楽 芸と人,安藤鶴夫,5
511,偽史冒険世界,長山靖生,6
512,土佐日記,紀貫之,6
513,危険を冒して書く,ジェイソン・ワイス,8
514,私の國語教室,福田恆存,8
515,岩波文庫の赤帯を読む,門谷建蔵,8
516,ピノッキオの冒険,カルロ・コッローディ,5
517,ペンネームの由来事典,紀田順一郎,8
518,鷹の井戸,ウィリアム・バトラー・イエーツ,5
519,マルコムＸ自伝,マルコムＸ,7
520,武家文化と同朋衆,村井康彦,6
521,一般システム理論,ルートヴィッヒ・フォン・ベルタランフィ,1
522,キリストと大国主,中西進,6
523,センセイの鞄,川上弘美,5
524,日本人の世界地図,長田弘・高畠通敏・鶴見俊輔,3
525,板極道,棟方志功,5
526,ジョン・ランプリエールの辞書,ローレンス・ノーフォーク,8
527,アンドレイ・タルコフスキー,ピーター・グリーン,5
528,寒村自伝,荒畑寒村,6
529,グラモフォン フィルム タイプライター,フリードリヒ・キットラー,1
530,ああ正負の法則,美輪明宏,7
531,大工一代,平田雅哉,5
532,古代教会史,ノルベルト・ブロックス,6
533,フクロウの不思議な生活,クリス・ミード,2
534,砂の女,安部公房,5
535,人はなぜ話すのか,ロジャー・Ｃ・シャンク,8
536,せどり男爵数奇譚,梶山季之,8
537,ヒメの民俗学,宮田登,6
538,地球の長い午後,ブライアン・W・オールディス,5
539,日本グルメ語辞典,大岡玲,8
540,中世の説話,松原秀一,8
541,共感覚者の驚くべき日常,リチャード・Ｅ・シトーウィック,2
542,熊を殺すと雨が降る,遠藤ケイ,6
543,「間」の極意,太鼓持あらい,5
544,五十音図の話,馬渕和夫,8
545,知の考古学,ミシェル・フーコー,3
546,雨の念仏,宮城道雄,5
547,英国アール・ヌーヴォー・ブック,ジョン・ラッセル・テイラー,5
548,動物哲学,ジャン・バチスト・ド・ラマルク,2
549,博徒と自由民権,長谷川昇,6
550,臨済録,臨済義玄・慧然,3
551,原色の街・驟雨,吉行淳之介,5
552,伝奇集,ホルヘ・ルイス・ボルヘス,8
553,吉田松陰遺文集,吉田松陰,6
554,ニューウェーブ・マネジメント,金井壽宏,4
555,古ヨーロッパの神々,マリヤ・ギンブタス,6
556,植治の庭,尼崎博正編,5
557,歌謡曲は、死なない。,貴地久好・高橋秀樹,7
558,女の一生,ギイ・ド・モーパッサン,5
559,民法風土記,中川善之助,7
560,野獣死すべし,大薮春彦,7
561,ピナ・バウシュ　タンツテアターとともに,ライムント・ホーゲ,5
562,日本の幼稚園,上笙一郎・山崎朋子,7
563,フランケンシュタイン,メアリー・シェリー,5
564,忠誠と反逆,丸山真男,3
565,もう、きみには頼まない,城山三郎,7
566,パンとサーカス,パトリック・ブラントリンガー,6
567,誤植読本,高橋輝次編著,8
568,大空のサムライ,坂井三郎,6
569,花嫁人形,蕗谷虹児,5
570,わが相対性理論,アルバート・アインシュタイン,1
571,古語拾遺,斎部広成,6
572,コルヴォー男爵,河村錠一郎,5
573,シャルルマーニュ伝説,トマス・ブルフィンチ,6
574,レンズ汎神論,飯田鉄,5
575,人間中野正剛,緒方竹虎,6
576,引きこもり,塩倉裕,2
577,物語論辞典,ジェラルド・プリンス,8
578,あなたみたいな明治の女,群ようこ,6
579,怪しい日本語研究室,イアン・アーシー,8
580,アンナ・カレーニナ,レフ・トルストイ,5
581,開国,伊部英男,6
582,エスとの対話,ゲオルグ・グロデック＆野間俊一,2
583,草枕,夏目漱石,5
584,ガイアの時代,ジェームズ・ラヴロック,1
585,華日記,早坂暁,5
586,毛皮を着たヴィーナス,レオポルド・フォン・ザッヘル=マゾッホ,5
587,ゲームの大学,平林久和・赤尾晃一,1
588,我と汝・対話,マルティン・ブーバー,3
589,若山牧水歌集,若山喜志子選,5
590,品格と色気と哀愁と,森繁久弥,7
591,反少女の灰皿,矢川澄子,5
592,明六社の人びと,戸沢行夫,6
593,センス・オブ・ワンダー,レイチェル・カーソン,1
594,遅刻の誕生,橋本毅彦・栗山茂久編著,7
595,ゴッドファーザー伝説,ビル・ボナーノ,7
596,花月のコスモロジー,大峯顯,5
597,突囲表演,残雪,5
598,ニワトリとタマゴ,アントワーヌ・ダンシャン,2
599,パノラマ島奇談,江戸川乱歩,5
600,リア王,ウィリアム・シェイクスピア,5
601,日本の音,小泉文夫,8
602,クラクラ日記,坂口三千代,6
603,京ことばの知恵,河野仁昭,8
604,水晶,アーダルベルト・シュティフター,5
605,武士道,新渡戸稲造,3
606,なぜ、「あれ」が思い出せなくなるのか,ダニエル・Ｌ・シャクター,8
607,水墨画,矢代幸雄,5
608,暗黒の女神,ロバート・グレイヴズ,6
609,スローカーブを、もう一球,山際淳司,7
610,君主論,ニッコロ・マキアヴェリ,3
611,ハックルベリイ・フィンの冒険,マーク・トウェイン,5
612,読経の世界,清水眞澄,8
